family,species,p4_m,p4_sd,p7_m,p7_sd,p2_m,p2_sd,p3_m,p3_sd,p8_m,p8_sd,p6_m,p6_sd,p1_m,p1_sd,p5_m,p5_sd,nentropy_m,nentropy_sd,sd_tot,trophic_guild_predicted
Acanthuridae,Prionurus_laticlavius,0.029945306091055158,0.08363844943078981,0.0090279595039411,0.03475043123748644,0.950363040566177,0.12369541369730018,1.5252219883715986e-4,0.002812332035647151,0.00825387750232886,0.030346813607148675,9.034127844948496e-4,0.009225110138194182,7.085269204352134e-5,6.711756835106575e-4,0.0012830286611223017,0.00590132523408567,0.9592793170222775,0.07430216339859812,0.15669318793453801,2
Acanthuridae,Prionurus_punctatus,0.029945306091055158,0.08363844943078981,0.0090279595039411,0.03475043123748644,0.950363040566177,0.12369541369730018,1.5252219883715986e-4,0.002812332035647151,0.00825387750232886,0.030346813607148675,9.034127844948496e-4,0.009225110138194182,7.085269204352134e-5,6.711756835106575e-4,0.0012830286611223017,0.00590132523408567,0.9592793170222775,0.07430216339859812,0.15669318793453801,2
Acanthuridae,Acanthurus_tristis,0.0016956984583623156,0.01237121470142105,0.0024650015054281486,0.02886855538413367,0.9705603127908309,0.13542403978258888,3.138577635717084e-4,0.009318571789053001,0.022424518103169616,0.11389872001126451,6.355397703399615e-5,7.663307184060837e-4,6.366422319994056e-4,0.013773089217386379,0.0018404151696039055,0.025523307731963873,0.9869289736753729,0.04458124807839343,0.18228436488499064,2
Acanthuridae,Paracanthurus_hepatus,0.0014982209788221284,0.011707796218445471,0.0010625042643175526,0.006562921710034958,0.9933476461321751,0.028188810332045316,4.313668330514063e-5,7.47789994796339e-4,0.003349943758277718,0.01577295377288183,4.843220456303984e-5,5.605470158315302e-4,6.170607612849486e-5,6.509179328982334e-4,5.884099024109093e-4,0.004373635025574632,0.9928842595326366,0.02699005039977462,0.03526989243884595,2
Acanthuridae,Zebrasoma_desjardinii,0.0034093746762771638,0.026457736550310956,0.0016207800985679286,0.01057533616797773,0.9897019478325544,0.049805228712060674,6.636600049395761e-5,0.0010234116597221113,0.003989148710855269,0.023479679093638985,2.797042943451685e-4,0.0033883780314216904,1.8651118360025806e-4,0.00270599492044981,7.461672033059087e-4,0.006839381484584989,0.9902693782474018,0.037918050581785066,0.06253266123029308,2
Acanthuridae,Zebrasoma_xanthurum,0.0037639111500610907,0.029770290053491102,0.002106560004279023,0.014584431983775348,0.9865931770535996,0.06337655010641793,8.329146283336193e-5,0.0010339254508511132,0.004709036290272035,0.02925807901392878,9.713159468072039e-4,0.019313674205166505,6.543006765789702e-4,0.016428763209659237,0.0011184074155687334,0.012367881675081568,0.9887670785370081,0.04197070520299894,0.0822712215054819,2
Acanthuridae,Zebrasoma_gemmatum,8.139301702295932e-4,0.007500494894109329,9.840060367022172e-4,0.006169629112241269,0.9917265476774738,0.035289651930302764,8.670108913141824e-5,0.0014132403053869248,0.005097606049068996,0.025572110041769514,2.249590411036697e-5,2.545286274098376e-4,2.0331776925870573e-4,0.0020648031771479647,0.001065395304024914,0.010075899356289766,0.9916676829618793,0.02971722770736294,0.045841719921604684,2
Acanthuridae,Zebrasoma_rostratum,0.0012392452445838245,0.010585664950764418,0.0021496121700043114,0.01572245298565058,0.9838202911979909,0.06348585255933475,4.846561419406038e-4,0.009043050227532871,0.008947421293509087,0.04290925073213905,1.0838410841477516e-4,0.0020176890867775535,0.0011727538583112438,0.016464318449781284,0.002077635985245321,0.020716480975882804,0.9862332234962886,0.043788167224598974,0.08376755515486595,2
Acanthuridae,Acanthurus_polyzona,2.1877842847568558e-4,0.001516846407080473,0.001237897430374669,0.009714179166051147,0.9536442915765102,0.1420905559027109,1.3733606105242947e-4,0.0021529277026404036,0.0395839554322685,0.1313110745851342,1.3894398762365484e-5,2.14291212712875e-4,0.0023100323934050144,0.025409440516064048,0.002853814279151132,0.027312682041878585,0.9760306394846955,0.05446463571352538,0.1972949410689836,2
Acanthuridae,Acanthurus_albipectoralis,0.002750489042337713,0.013398672773379722,0.0022023439178800396,0.016242486111358485,0.9800238274244576,0.09271479086857118,7.111940857332809e-5,0.0011744221895992986,0.01373533482954945,0.07543470998872408,1.690732888937947e-4,0.00360954786197308,2.3828948148758806e-4,0.004008157816416109,8.095226068205437e-4,0.0056950244698606226,0.986157584063356,0.04858701455731746,0.12162515134663753,2
Acanthuridae,Acanthurus_guttatus,4.66964653265294e-4,0.003279623831864308,4.242294908906722e-4,0.0029842422137174077,0.9953001282225572,0.021666401319491484,4.0824432383977995e-5,8.436005037099193e-4,0.00337049143229046,0.016881685221448728,4.123602923421683e-5,6.369734086004773e-4,5.226411323469024e-5,0.001101777973001552,3.0386162614346926e-4,0.003546887422897099,0.9950350257539533,0.019662021971541186,0.028089101056239393,2
Acanthuridae,Acanthurus_leucosternon,0.0018435886684603055,0.00961865778835483,6.208052416648188e-4,0.0051354007422440805,0.9960441982170635,0.01934926869258867,2.309132608501568e-5,4.052193707757798e-4,9.77246664877974e-4,0.004828484218137542,3.449190941418296e-4,0.008584239023816716,5.271444302406376e-6,5.402515312109429e-5,1.4087934340416427e-4,0.0022307215054281106,0.995669596894133,0.01950209109359665,0.02440147079018259,2
Acanthuridae,Acanthurus_achilles,3.0899501819895244e-4,0.0021637697865901024,2.9947717277956424e-4,0.0021617499145970467,0.9958145772543838,0.019101666332839114,3.305692446555655e-5,7.898073204056995e-4,0.0032562149466100637,0.016955467451308846,2.8820949037137676e-5,5.142963000024024e-4,2.191433377571068e-5,3.905161039322887e-4,2.369434007492126e-4,0.002166442493685406,0.9955731713915272,0.01688526471178411,0.02583507050037937,2
Acanthuridae,Acanthurus_japonicus,2.4807440708816085e-4,0.001929924841266344,2.8733367187922334e-4,0.00204963953977924,0.9947449524380255,0.02406426148173987,3.9070107650748664e-5,9.205824663595849e-4,0.004329614788049325,0.021872965742350182,2.0777236616708267e-5,3.585526803067205e-4,4.194806055734701e-5,9.855293658511878e-4,2.8822929013306003e-4,0.002761170088650052,0.9946511465879176,0.01943462393266235,0.032787380249950926,2
Acanthuridae,Acanthurus_nigricans,2.537247238103141e-4,0.0019520280545890882,2.8830937807279106e-4,0.0020591974983125588,0.994881928229499,0.023465300239966822,3.834218833503517e-5,9.055957416547773e-4,0.004195257563273594,0.021289114768790727,2.147793118532515e-5,3.7172069048685506e-4,3.897979444421696e-5,8.934501732772469e-4,2.8198019137978483e-4,0.002688158538491274,0.9947627080512285,0.01917302093347491,0.03195121531824294,2
Acanthuridae,Ctenochaetus_hawaiiensis,0.0013072456976991726,0.012271691400624195,0.0011468557872442232,0.009662820788901055,0.9863231090033255,0.05945016536747759,2.426182140619057e-4,0.008160755832390058,0.009508239725884441,0.044167467697996975,8.228515214338145e-5,0.0012205182998257414,1.6804983477577813e-4,0.0016889738540741778,0.0012215965848655806,0.013330283056273026,0.98813445187423,0.03866795086198494,0.07731551306316743,2
Acanthuridae,Acanthurus_nubilus,4.90983847299803e-4,0.0033667668224996385,4.1006443988441386e-4,0.00289090956579849,0.9953407609305863,0.020515128156131678,7.936464855632409e-5,0.002686102682683837,0.0032702571779015675,0.016115795357198086,2.6981927529210658e-5,5.297407475388141e-4,2.0756859715733827e-5,2.1729621316967293e-4,3.608301685266493e-4,0.0034734694026346477,0.9949414165348955,0.019781125982679542,0.0268307622036558,2
Acanthuridae,Acanthurus_pyroferus,6.281315328210025e-4,0.004488199707986769,4.2826033647034635e-4,0.0028881630476113363,0.9956379957331872,0.020127788646857582,7.084937857591999e-5,0.002407848677828072,0.002843375824886602,0.015110111367959698,4.0883680954245236e-5,7.320101376777732e-4,1.794950185246566e-5,1.932208067800962e-4,3.325540112521835e-4,0.0034542749941139208,0.9953053356842958,0.019326571628494424,0.026081251654880153,2
Acanthuridae,Ctenochaetus_cyanocheilus,1.8725030466179335e-4,0.0010590313735475963,3.762685072715185e-4,0.002603670730924634,0.9871114872657062,0.05470247751647602,1.3641034457488317e-4,0.004188980136996783,0.011297568385039626,0.052247170928561563,8.456234137074747e-6,1.6787671203557917e-4,1.4581227882150272e-4,0.002273056651795125,7.367466797874447e-4,0.006426343794850558,0.9890114112099937,0.03166477130033061,0.07611878206786159,2
Acanthuridae,Acanthurus_reversus,0.004043601632830473,0.029996374808982394,0.0017488634707521166,0.011910076722739422,0.9704665059115397,0.1308813469673882,2.5419354715817174e-4,0.004878957522553556,0.02101726051231688,0.10673080056610906,8.614678730875422e-4,0.015646928744667596,2.837827422811769e-4,0.008161731195279756,0.0013243243100339469,0.015810642694036342,0.9853821357040086,0.05091990644619018,0.17363249720848045,2
Acanthuridae,Ctenochaetus_tominiensis,1.8673947214352445e-4,0.0010586773164996842,3.7923027749436656e-4,0.002625470901619433,0.9870076825743785,0.05517222384229911,1.3765209321384513e-4,0.004201124971261446,0.011356675254696975,0.05267282936259665,8.460993250990326e-6,1.6787796524443918e-4,1.796254096052805e-4,0.002976803450040092,7.439339252164667e-4,0.006520134769891975,0.9890043753899582,0.03182702336519109,0.07678193981734767,2
Acanthuridae,Ctenochaetus_binotatus,3.4414035196099745e-4,0.002173552873769518,3.807571893195668e-4,0.0024967013356917344,0.9937927527660052,0.026701770954951166,1.0062723802091557e-4,0.003184111126722264,0.00488915803678334,0.023518407190792224,1.754925089675343e-5,3.5364495768605293e-4,3.649344619397129e-5,3.8513948137531336e-4,4.385217208192847e-4,0.0038506207144661324,0.9936503896158113,0.022086916412190617,0.03608735428522713,2
Acanthuridae,Acanthurus_randalli,6.806970394988208e-4,0.0066137391130301915,0.0015848560466194131,0.02020110640024824,0.9688348995489472,0.12714870218567817,2.209926964880647e-4,0.005002249650526226,0.026107986075725287,0.11363785627205995,9.380821891640111e-5,0.0027880574682180954,9.333156044820017e-4,0.014167161275895852,0.0015434447693228324,0.01633654440162436,0.9844176936429363,0.045380040484592224,0.1732990709671485,2
Acanthuridae,Ctenochaetus_strigosus,1.676613045628779e-4,9.590689609489903e-4,3.8288045346040735e-4,0.0026932392707678943,0.9844375268694988,0.06508972904955232,1.5363634945729355e-4,0.004475057403961071,0.013786215125442123,0.062464425143447744,7.422250876984201e-6,1.4499991743576273e-4,2.1795512660796563e-4,0.0037216827963895338,8.467025200935719e-4,0.007531398866761212,0.9877525203239451,0.03432972966280084,0.09075941076692258,2
Acanthuridae,Ctenochaetus_flavicauda,1.870490899765613e-4,0.0010596719037004637,3.7953420298638345e-4,0.0026362663908209532,0.9867722870670744,0.05712524124872444,1.4297321015172067e-4,0.004242346746069786,0.01160868399881204,0.054653595097455765,8.484027077138829e-6,1.678821335984779e-4,1.5405334380731443e-4,0.002432532386667056,7.469350601143469e-4,0.006539146601591466,0.9890333417975862,0.031828143783618514,0.07953040168540854,2
Acanthuridae,Ctenochaetus_truncatus,1.870490899765613e-4,0.0010596719037004637,3.7953420298638345e-4,0.0026362663908209532,0.9867722870670744,0.05712524124872444,1.4297321015172067e-4,0.004242346746069786,0.01160868399881204,0.054653595097455765,8.484027077138829e-6,1.678821335984779e-4,1.5405334380731443e-4,0.002432532386667056,7.469350601143469e-4,0.006539146601591466,0.9890333417975862,0.031828143783618514,0.07953040168540854,2
Acanthuridae,Acanthurus_monroviae,0.0010242770878638372,0.005589131691330256,3.803057804588412e-4,0.0028433947082881286,0.9971746483092474,0.013387392680551436,1.8564112312983682e-5,3.1641362823478823e-4,0.0010953493726308433,0.006205005970103662,1.2078163507306696e-4,0.0023114554795833596,5.380022991610421e-6,5.447822370763411e-5,1.8069367942144204e-4,0.0025111668783912976,0.9967770450571405,0.015230060361051297,0.016395107178322252,2
