"family","genspe","c_m","c_sd","n_m","n_sd","p_m","p_sd","diet_cat"
"Monacanthidae","Eubalichthys_cyanoura",0.336265725456423,0.022715552682634,0.05824996676818,0.00450205249458346,0.00791029923748966,0.000987501318554911,3
"Monacanthidae","Eubalichthys_mosaicus",0.354586762303473,0.0168778815876423,0.0647344478507754,0.00371821441627228,0.00925422685825021,0.0010439970346985,3
"Monacanthidae","Meuschenia_flavolineata",0.349160061728451,0.0201042627758505,0.0598756989558923,0.00425347148416518,0.00812505953575256,0.00102482733426784,3
"Monacanthidae","Meuschenia_freycineti",0.354586762303473,0.0168778815876423,0.0647344478507754,0.00371821441627228,0.00925422685825021,0.0010439970346985,3
"Monacanthidae","Meuschenia_galii",0.350763287074037,0.0191782407607092,0.0606235886092184,0.00410300851950009,0.00830906547018179,0.00101377963943517,3
"Monacanthidae","Meuschenia_hippocrepis",0.353960031900807,0.017185636816075,0.0634277555781768,0.0037598243132424,0.0089632158425425,0.00101142508759396,3
"Monacanthidae","Meuschenia_scaber",0.349610728548355,0.0198464617479325,0.0600671931073004,0.00421214520376514,0.00817264277679095,0.00102174815560379,3
"Monacanthidae","Meuschenia_venusta",0.342867169498598,0.0236986697132628,0.057910350583694,0.00481091585105485,0.00762022579712573,0.00106619608286738,3
"Monacanthidae","Monacanthus_chinensis",0.325826752232689,0.0288591005108776,0.056793157192086,0.00546629213262607,0.00758742780909517,0.00108283815603757,1
"Monacanthidae","Monacanthus_ciliatus",0.292672291447148,0.0139173360654886,0.0392042496181926,0.00311282023627052,0.00529296939554888,0.00089124999038395,2
"Monacanthidae","Monacanthus_tuckeri",0.355983138799049,0.016618967773225,0.062130512124201,0.00400019986360933,0.00784251590623559,0.00119511639915085,8
"Monacanthidae","Nelusetta_ayraud",0.355023076516867,0.0185973422508227,0.0690994236533068,0.00421621355253899,0.0101801038626655,0.00133180033197681,3
"Monacanthidae","Oxymonacanthus_halli",0.36013172534782,0.0169880330880416,0.0608761740860329,0.00394492399992162,0.00824780566006965,0.00107830039082273,3
"Monacanthidae","Oxymonacanthus_longirostris",0.368169855748261,0.0161903457624536,0.0624092846136303,0.00396798665877281,0.00868276455384775,0.00114816177708542,3
"Monacanthidae","Paraluteres_arqat",0.321149281016887,0.033033073353556,0.0539330795279525,0.00620173666903809,0.00684301528265725,0.00115990468638184,1
"Monacanthidae","Paraluteres_prionurus",0.309408353809263,0.0424184559172287,0.0510347385022824,0.00783129083376692,0.00598179444314674,0.00138810214415662,1
"Monacanthidae","Paramonacanthus_choirocephalus",0.304816009831998,0.0459098862906744,0.0501313119759981,0.00844445729802862,0.00575207631812634,0.00147815827204337,1
"Monacanthidae","Paramonacanthus_japonicus",0.316381856775767,0.0373089279493475,0.0522086679129412,0.00694767635727823,0.00625380332095752,0.00126060489078959,1
"Monacanthidae","Paramonacanthus_nipponensis",0.314982005251764,0.0401861450544459,0.0521650259883073,0.00747525590588585,0.00621838874796079,0.00134321078006118,1
"Monacanthidae","Paramonacanthus_oblongus",0.302382700260651,0.0479086831979573,0.0496521084252303,0.00879137505316325,0.00557978104176381,0.00153129249680403,1
"Monacanthidae","Paramonacanthus_tricuspis",0.313993398539146,0.0397523788123956,0.0518702069674281,0.00736684316740427,0.00609899530260631,0.00132062888614105,1
