"Family","species","max_size","sst","kmax_m","kmax_sd","r_phylo_m","r_phylo_sd"
"Serranidae","Plectropomus_maculatus",100,25,0.0796419243003084,0.0279138627333527,-0.267381307890562,0.490368540640063
"Serranidae","Plectropomus_maculatus",100,26,0.0813430271263788,0.0284372461525225,-0.267381307890562,0.490368540640063
"Serranidae","Plectropomus_maculatus",100,27,0.083093694714131,0.0290154314944198,-0.267381307890562,0.490368540640063
"Serranidae","Plectropomus_maculatus",100,28,0.0848955815520868,0.0296517390951761,-0.267381307890562,0.490368540640063
"Serranidae","Plectropomus_maculatus",100,29,0.0867504039935428,0.0303495377321927,-0.267381307890562,0.490368540640063
"Serranidae","Plectropomus_maculatus",100,30,0.0886599427816911,0.0311122390355662,-0.267381307890562,0.490368540640063
"Serranidae","Plectropomus_oligacanthus",75,27,0.116769388395211,0.00927245892584528,-0.0957040900610208,0.348629695278922
"Serranidae","Plectropomus_oligacanthus",75,28,0.119328107689215,0.00976187622922362,-0.0957040900610208,0.348629695278922
"Serranidae","Plectropomus_oligacanthus",75,29,0.121962745346645,0.0104981874856453,-0.0957040900610208,0.348629695278922
"Serranidae","Plectropomus_pessuliferus",120,24,0.0760668617313691,0.0085272423522089,-0.101465299601044,0.353976297773367
"Serranidae","Plectropomus_pessuliferus",120,27,0.0810905422045658,0.00872174041772811,-0.101465299601044,0.353976297773367
"Serranidae","Pseudanthias_cooperi",14,26,0.52096803408746,0.110551993807036,0.111641924857417,0.385274343203981
"Serranidae","Pseudanthias_dispar",9.5,26,0.652041963961181,0.132321605224642,0.0397807206193304,0.363204944918425
"Serranidae","Pseudanthias_dispar",9.5,27,0.666281660334241,0.135446097037258,0.0397807206193304,0.363204944918425
"Serranidae","Pseudanthias_dispar",9.5,28,0.68094370920885,0.139248263799291,0.0397807206193304,0.363204944918425
"Serranidae","Pseudanthias_dispar",9.5,29,0.696042527220409,0.14376493575146,0.0397807206193304,0.363204944918425
"Serranidae","Pseudanthias_dispar",9.5,30,0.711593082185568,0.149028292159362,0.0397807206193304,0.363204944918425
"Serranidae","Pseudanthias_evansi",12,27,0.553823067100709,0.102356214661107,0.037958315537183,0.363293728635576
"Serranidae","Pseudanthias_evansi",12,28,0.566015389944403,0.105429130476072,0.037958315537183,0.363293728635576
"Serranidae","Pseudanthias_evansi",12,29,0.578570966360964,0.109135574322214,0.037958315537183,0.363293728635576
"Serranidae","Pseudanthias_hiva",10.04,28,0.479403049289463,0.100201034072639,-0.269528139098764,0.363652211533061
"Serranidae","Pseudanthias_huchtii",12,27,0.616198422352131,0.144624515492445,0.134745024551191,0.393878609703085
"Serranidae","Pseudanthias_huchtii",12,28,0.62979211358538,0.148694959980076,0.134745024551191,0.393878609703085
"Serranidae","Pseudanthias_huchtii",12,29,0.643791585621168,0.153382382462958,0.134745024551191,0.393878609703085
"Serranidae","Pseudanthias_hypselosoma",19,26,0.315136721111494,0.0608115592645275,-0.152242631247045,0.364830794644235
"Serranidae","Pseudanthias_hypselosoma",19,28,0.328918706492796,0.0629049401299225,-0.152242631247045,0.364830794644235
"Serranidae","Pseudanthias_hypselosoma",19,29,0.336116023383643,0.0644372016057297,-0.152242631247045,0.364830794644235
"Serranidae","Pseudanthias_ignitus",9,26,0.560422593402414,0.161256461089616,-0.173329463779863,0.404687421325386
"Serranidae","Pseudanthias_mooreanus",7.2,25,0.863700077077404,0.220570160126698,0.118080154667868,0.387133523429085
"Serranidae","Pseudanthias_mooreanus",7.2,28,0.921573268498644,0.236127626408277,0.118080154667868,0.387133523429085
"Serranidae","Pseudanthias_olivaceus",8.77,25,0.743016474506546,0.182014372898882,0.12160219177968,0.38898689974097
"Serranidae","Pseudanthias_olivaceus",8.77,27,0.775742806646431,0.190120744625283,0.12160219177968,0.38898689974097
"Serranidae","Pseudanthias_olivaceus",8.77,28,0.792837506764622,0.195222559494678,0.12160219177968,0.38898689974097
"Serranidae","Pseudanthias_pascalus",20,25,0.336380591497855,0.0449936171128141,-0.0169497242630953,0.354203799618772
"Serranidae","Pseudanthias_pascalus",20,26,0.343674670343224,0.0458496692582685,-0.0169497242630953,0.354203799618772
"Serranidae","Pseudanthias_pascalus",20,27,0.351184131252713,0.0471696541357536,-0.0169497242630953,0.354203799618772
"Serranidae","Pseudanthias_pascalus",20,28,0.358916292964382,0.0489779397599603,-0.0169497242630953,0.354203799618772
"Serranidae","Pseudanthias_pascalus",20,29,0.366878752957035,0.0512887177743119,-0.0169497242630953,0.354203799618772
"Serranidae","Pseudanthias_pictilis",13.5,21,0.392236418468674,0.0609918817879283,-0.0826810752523526,0.343097660288703
"Serranidae","Pseudanthias_pictilis",13.5,22,0.40049510877292,0.0604787425218449,-0.0826810752523526,0.343097660288703
"Serranidae","Pseudanthias_pictilis",13.5,26,0.436009965858161,0.0625750888435305,-0.0826810752523526,0.343097660288703
"Serranidae","Pseudanthias_pleurotaenia",20,27,0.389652704531641,0.070074977989405,0.0800448380473652,0.374876349845507
"Serranidae","Pseudanthias_pleurotaenia",20,29,0.407097286811499,0.0751044410937699,0.0800448380473652,0.374876349845507
"Serranidae","Pseudanthias_regalis",6.23,28,0.779530884265933,0.204015925869716,-0.162485346747432,0.348508344948615
"Serranidae","Pseudanthias_squamipinnis",15,21,0.619194712987307,0.259146886251674,0.38639078695216,0.522327705611385
"Serranidae","Pseudanthias_squamipinnis",15,22,0.632315528782437,0.263723367020288,0.38639078695216,0.522327705611385
"Serranidae","Pseudanthias_squamipinnis",15,24,0.659719649799398,0.274143365316278,0.38639078695216,0.522327705611385
"Serranidae","Pseudanthias_squamipinnis",15,25,0.674029309138311,0.280042204904459,0.38639078695216,0.522327705611385
"Serranidae","Pseudanthias_squamipinnis",15,26,0.688762442914984,0.28643869161633,0.38639078695216,0.522327705611385
"Serranidae","Pseudanthias_squamipinnis",15,27,0.703933518416886,0.293362763123603,0.38639078695216,0.522327705611385
"Serranidae","Pseudanthias_squamipinnis",15,28,0.719557558167466,0.300845240096074,0.38639078695216,0.522327705611385
"Serranidae","Pseudanthias_squamipinnis",15,29,0.735650163200396,0.308917825087634,0.38639078695216,0.522327705611385
"Serranidae","Pseudanthias_taeniatus",13,24,0.408467923363962,0.0864272768803795,-0.145708531193909,0.372107751339293
"Serranidae","Pseudanthias_tuka",12,26,0.441360633049297,0.0975717608400971,-0.174925037079302,0.372896935141106
"Serranidae","Pseudanthias_tuka",12,27,0.451130043378748,0.100541947791003,-0.174925037079302,0.372896935141106
"Serranidae","Pseudanthias_tuka",12,28,0.461191399345159,0.10396747079642,-0.174925037079302,0.372896935141106
"Serranidae","Pseudanthias_tuka",12,29,0.471554711141772,0.107866685622839,-0.174925037079302,0.372896935141106
