"","species","sizemax","sst","k_m","k_sd"
"4054","Scorpaena_cardinalis",22,22,0.249449611897461,0.0981848312175323
"4055","Scorpaena_cardinalis",22,27,0.278638964505681,0.112657634155202
"4056","Scorpaena_cardinalis",22,28,0.285016563768234,0.116258479713201
"4057","Scorpaena_histrio",26,27,0.23938822419353,0.0335278989270635
"4058","Scorpaena_histrio",26,28,0.244604609102929,0.0343282477379947
"4059","Scorpaena_mystes",45.70000076,23,0.146602407366884,0.0200009266829021
"4060","Scorpaena_mystes",45.70000076,24,0.149766565911445,0.0202855742931801
"4061","Scorpaena_mystes",45.70000076,25,0.153023939493486,0.0207649411524806
"4062","Scorpaena_mystes",45.70000076,26,0.156377683728715,0.0214516401336609
"4063","Scorpaena_mystes",45.70000076,27,0.159831073846914,0.0223539817800309
"4064","Scorpaena_mystes",45.70000076,28,0.163387509640957,0.0234761493504354
"4065","Scorpaena_plumieri",45,23,0.149713596350649,0.0147598976778494
"4066","Scorpaena_plumieri",45,24,0.152926210879069,0.0146659645273104
"4067","Scorpaena_plumieri",45,25,0.156233116831595,0.0148241232000809
"4068","Scorpaena_plumieri",45,26,0.159637496772112,0.0152610445377545
"4069","Scorpaena_plumieri",45,27,0.163142653648638,0.015990595993682
"4070","Scorpaena_plumieri",45,28,0.166752015766464,0.0170135983812204
"4071","Scorpaenopsis_diabolus",30,21,0.198012554086707,0.0415514683619614
"4072","Scorpaenopsis_diabolus",30,25,0.215740883860682,0.0451113948544962
"4073","Scorpaenopsis_diabolus",30,28,0.230467661847742,0.0500511678458458
"4074","Scorpaenopsis_oxycephala",36,28,0.199210476562122,0.0513063905955782
"4075","Scorpaenopsis_oxycephala",36,29,0.203735829277754,0.0533353605519998
"4076","Scorpaenopsis_papuensis",25,25,0.308889178180827,0.0705588028439355
"4077","Scorpaenopsis_papuensis",25,28,0.329769935922363,0.0767689829356686
"4078","Scorpaenopsis_papuensis",25,29,0.337150853191302,0.0794986441019966
"4079","Scorpaenopsis_possi",19.4,28,0.32206611185916,0.0788410397144106
"4080","Sebastapistes_tinkhami",8,25,0.601646740879769,0.147334547082054
"4081","Taenianotus_triacanthus",10,25,0.526492708867039,0.120424647549039
"4082","Taenianotus_triacanthus",10,28,0.561387465235069,0.126847948778443
"4083","Taenianotus_triacanthus",10,29,0.573711683567946,0.129960063965049
"4084","Acanthistius_cinctus",50,21,0.127070111619786,0.0147951375338031
"4085","Aethaloperca_rogaa",60,26,0.127342710617896,0.015769384152156
"4086","Aethaloperca_rogaa",60,27,0.13009994540121,0.0160395404549121
"4087","Aethaloperca_rogaa",60,28,0.132938326902917,0.0164911652575297
"4088","Aethaloperca_rogaa",60,29,0.135860600624567,0.0171339376910922
"4089","Alphestes_immaculatus",30,23,0.201354430240113,0.031649631236497
"4090","Alphestes_immaculatus",30,24,0.20560769246399,0.0314762975000043
"4091","Alphestes_immaculatus",30,26,0.21448960302182,0.0317300304206155
"4092","Alphestes_immaculatus",30,27,0.219126699058529,0.0322091070213652
"4093","Alphestes_immaculatus",30,28,0.223900453658671,0.032953348435216
"4094","Anyperodon_leucogrammicus",65,25,0.120675484129126,0.012645027198963
"4095","Anyperodon_leucogrammicus",65,26,0.123261137229039,0.0125559070070341
"4096","Anyperodon_leucogrammicus",65,27,0.125922594531996,0.0126548779648597
"4097","Anyperodon_leucogrammicus",65,28,0.128662413481404,0.0129637360264897
"4098","Anyperodon_leucogrammicus",65,29,0.131483248270744,0.0134960402442301
"4099","Belonoperca_chabanaudi",15,24,0.377039192098898,0.0584768791671069
"4100","Belonoperca_chabanaudi",15,26,0.393412958107529,0.0596208411096725
"4101","Belonoperca_chabanaudi",15,27,0.401962160816436,0.0608523435021636
"4102","Belonoperca_chabanaudi",15,28,0.410763823639492,0.062570166672911
"4103","Belonoperca_chabanaudi",15,29,0.419826520143906,0.0648003263509455
"4104","Cephalopholis_argus",60,21,0.0603701503357347,0.0128888034836372
"4105","Cephalopholis_argus",60,22,0.0616215877539403,0.0128562274245837
"4106","Cephalopholis_argus",60,24,0.0642335996143472,0.0129104499335179
