bioregion,species,Fc_p_m,Fc_p_sd,Fc_p_q1,Fc_p_q3,Fn_p_m,Fn_p_sd,Fn_p_q1,Fn_p_q3,Fp_p_m,Fp_p_sd,Fp_p_q1,Fp_p_q3,Ic_p_m,Ic_p_sd,Ic_p_q1,Ic_p_q3,Gc_p_m,Gc_p_sd,Gc_p_q1,Gc_p_q3,I_herb_p_m,I_herb_p_sd,I_herb_p_q1,I_herb_p_q3,I_pisc_p_m,I_pisc_p_sd,I_pisc_p_q1,I_pisc_p_q3,occurence,rel_occ
c_pacific,Lutjanus_erythropterus,0.0011567655335276337,0.03644044057199088,4.345893921306303e-4,0.08239143318509859,0.001216863991337747,0.03816475017106152,4.900420180040991e-4,0.07783684022052936,0.0016054249495418833,0.03816475017106152,8.863166159900188e-4,0.08669761683671635,0.0013509238241940376,0.03810991509109113,5.088608260570112e-4,0.08627641186151436,0.00315407879347344,0.04776715982530647,0.0012523522117010436,0.10929331914695448,0,0,0,0,0,0,0,0,4,4.007052412245552e-5
c_pacific,Luzonichthys_waitei,7.848129418714612e-5,5.73877848967682e-5,2.8782014599627927e-5,1.281805737746643e-4,9.639715425443834e-5,2.075071845610336e-4,3.7088826427071885e-5,1.557054820818048e-4,3.085757471663315e-4,2.075071845610336e-4,1.2886925386869038e-4,4.882822404639727e-4,7.262144911960738e-5,5.297635011818696e-5,2.674258411747873e-5,1.1850031412173605e-4,0,0,0,0,0,0,0,0,0,0,0,0,2,2.003526206122776e-5
c_pacific,Macropharyngodon_geoffroy,2.3099271898034e-4,3.893498809744261e-4,3.935903472358401e-5,0.0015811935443142042,2.2797160043492443e-4,3.551030793740617e-4,3.615657005267649e-5,0.001422034346510324,1.6834675387759126e-4,3.551030793740617e-4,7.74581109423182e-6,0.0012899491276222922,2.2423926822313459e-4,3.845364577249583e-4,4.0884382074592197e-5,0.0015992416156539104,1.2304104552355094e-4,3.444338838730862e-4,0,0.0016601595031244302,0.007650598256899925,0.01891802174493625,9.672963328110274e-4,0.08094186458238012,0,0,0,0,35,3.5061708607148583e-4
c_pacific,Mugil_cephalus,0.05119703558252705,0.0915164355651269,0.023403729443924836,0.21874370979367058,0.041504826913310484,0.0928026764165972,0.017109741676774027,0.1867583223865971,0.04372919771733632,0.0928026764165972,0.01565321878535789,0.2136970547769206,0.04765581822459566,0.08307368439394969,0.02210580668534981,0.19954819185326322,0.0132672721801118,0.03650622666785658,0.009536651668163533,0.08434289827024283,0.6217060096717986,0.1975335343251181,0.5122605662576099,0.9505119830043246,0,0,0,0,3,3.005289309184164e-5
c_pacific,Mulloidichthys_mimicus,0.0014914885780777972,4.0841323700483036e-4,0.0011377923395897794,0.0018451848165658151,0.0015572838848805404,5.068207453337528e-4,0.0011896975354602837,0.001924870234300797,0.0021278006045632792,5.068207453337528e-4,0.0016888809639392858,0.0025667202451872726,0.0016368645733341898,4.7764473409925127e-4,0.0012232120996203749,0.0020505170470480048,0.0029375511440305757,7.640966357794576e-4,0.0022758240464993396,0.0035992782415618114,0,0,0,0,0,0,0,0,2,2.003526206122776e-5
c_pacific,Naso_caeruleacauda,0.006605218363900686,NA,0.006605218363900686,0.006605218363900686,0.007156204821567237,NA,0.007156204821567237,0.007156204821567237,0.014097149746348606,NA,0.014097149746348606,0.014097149746348606,0.006239745802811268,NA,0.006239745802811268,0.006239745802811268,0.0018418718005358571,NA,0.0018418718005358571,0.0018418718005358571,0.11469109432514654,NA,0.11469109432514654,0.11469109432514654,0,NA,0,0,1,1.001763103061388e-5
c_pacific,Naso_lopezi,0.07618991035703457,0.08048456187953709,0.014997582883493637,0.1975894146425546,0.08746066610678226,0.022791642504187953,0.017005403180971674,0.20024961427662308,0.05533095679230087,0.022791642504187953,0.01261667889322873,0.060609390294383995,0.07779400619539309,0.08113954442904593,0.015064397580725492,0.19934502786071798,0.101283489664215,0.08926068965576547,0.016613504267091996,0.221715594534326,0.6539108208545417,0.3042090524806635,0.24343569792304767,0.9424396216852895,0,0,0,0,3,3.005289309184164e-5
c_pacific,Naso_tuberosus,0.01624705564002292,0.060985458286172335,0.002338852700925329,0.16814508658222574,0.016203642338288957,0.09231434726868724,0.0025582139484752447,0.1878493288884818,0.0146702908172429,0.09231434726868724,0.0015872620141969955,0.2889147071542365,0.01575058805961908,0.06131173367674727,0.002410952459625217,0.16652052554930674,0.009377466595133641,0.06462017441560819,0.003102671532159521,0.19152531272352655,0.1898791041966717,0.2792355831483724,0.035996145303391985,0.8757262465450595,0,0,0,0,10,1.001763103061388e-4
c_pacific,Neomyxus_leuciscus,0.007816931714508252,0.2604051010560075,0.003882549379132285,0.526648796902232,0.007578931716209538,0.35983178272898003,0.003720599693674138,0.5238492273987667,0.006296732146614419,0.35983178272898003,0.003037404232897129,0.7243250981135709,0.007787272639009082,0.2554368478601289,0.003867080328254286,0.5166895914723051,0.007200088334180987,0.16833435807676497,0.0035587679565132423,0.34203337513824433,0.1475015344448405,0.38247964439739646,0.06372101492124477,0.8671218339825856,0,0,0,0,3,3.005289309184164e-5
c_pacific,Neopomacentrus_nemurus,0.032460893399670995,0.07259397516633558,0.0016211444375313598,0.21852716193692132,0.03509353120767417,0.18236344689645065,0.002137027610375679,0.2165683006140952,0.11312422771815381,0.18236344689645065,0.0097141724814505,0.5795620536440628,0.029958035901219857,0.06774134517013825,0.001527216310352961,0.20281972365662693,0.011565363225500645,0.0233661897898574,5.929947932834344e-4,0.0673386122124745,0,0,0,0,0,0,0,0,10,1.001763103061388e-4
